A	B-Actor
customer	I-Actor
brings	B-Activity
in	I-Activity
a	B-Activity Data
defective	I-Activity Data
computer	I-Activity Data
and	O
the	B-Actor
CRS	I-Actor
checks	B-Activity
the	B-Activity Data
defect	I-Activity Data
and	O
hands	B-Activity
out	I-Activity
a	B-Activity Data
repair	I-Activity Data
cost	I-Activity Data
calculation	I-Activity Data
back	O
.	O

If	B-XOR Gateway
the	B-Condition Specification
customer	I-Condition Specification
decides	I-Condition Specification
that	I-Condition Specification
the	I-Condition Specification
costs	I-Condition Specification
are	I-Condition Specification
acceptable	I-Condition Specification
,	O
the	O
process	O
continues	O
,	O
otherwise	B-XOR Gateway
she	B-Actor
takes	B-Activity
her	B-Activity Data
computer	I-Activity Data
home	B-Further Specification
unrepaired	I-Further Specification
.	O

The	O
ongoing	O
repair	O
consists	O
of	O
two	O
activities	O
,	O
which	O
are	O
executed	O
,	O
in	O
an	O
arbitrary	O
order	O
.	O

The	O
first	O
activity	O
is	O
to	O
check	B-Activity
and	O
repair	B-Activity
the	B-Activity Data
hardware	I-Activity Data
,	O
whereas	B-AND Gateway
the	O
second	O
activity	O
checks	B-Activity
and	O
configures	B-Activity
the	B-Activity Data
software	I-Activity Data
.	O

After	O
each	O
of	O
these	O
activities	O
,	O
the	B-Activity Data
proper	I-Activity Data
system	I-Activity Data
functionality	I-Activity Data
is	O
tested	B-Activity
.	O

If	B-XOR Gateway
an	B-Condition Specification
error	I-Condition Specification
is	I-Condition Specification
detected	I-Condition Specification
another	B-Activity Data
arbitrary	I-Activity Data
repair	I-Activity Data
activity	I-Activity Data
is	O
executed	B-Activity
,	O
otherwise	B-XOR Gateway
the	O
repair	O
is	O
finished	O
.	O

Whenever	O
a	B-Actor
company	I-Actor
makes	B-Activity
the	B-Activity Data
decision	I-Activity Data
to	I-Activity Data
go	I-Activity Data
public	I-Activity Data
,	O
its	O
first	O
task	O
is	O
to	O
select	B-Activity
the	B-Activity Data
underwriters	I-Activity Data
.	O

Underwriters	O
act	O
as	O
financial	O
midwives	O
to	O
a	O
new	O
issue	O
.	O

Usually	O
they	O
play	O
a	O
triple	O
role	O
:	O
First	O
they	O
provide	O
the	O
company	O
with	O
procedural	O
and	O
financial	O
advice	O
,	O
then	O
they	O
buy	O
the	O
issue	O
,	O
and	O
finally	O
they	O
resell	O
it	O
to	O
the	O
public	O
.	O

Established	O
underwriters	O
are	O
careful	O
of	O
their	O
reputation	O
and	O
will	O
not	O
handle	O
a	O
new	O
issue	O
unless	O
they	O
believe	O
the	O
facts	O
have	O
been	O
presented	O
fairly	O
.	O

Thus	O
,	O
in	O
addition	O
to	O
handling	O
the	O
sale	O
of	O
a	O
company	O
’	O
s	O
issue	O
,	O
the	O
underwriters	O
in	O
effect	O
give	O
their	O
seal	O
of	O
approval	O
to	O
it	O
.	O

They	B-Actor
prepare	B-Activity
a	B-Activity Data
registration	I-Activity Data
statement	I-Activity Data
for	I-Activity Data
the	I-Activity Data
approval	I-Activity Data
of	I-Activity Data
the	I-Activity Data
Securities	I-Activity Data
and	I-Activity Data
Exchange	I-Activity Data
Commission	I-Activity Data
(	I-Activity Data
SEC	I-Activity Data
)	I-Activity Data
.	O

In	O
addition	O
to	O
registering	O
the	O
issue	O
with	O
the	O
SEC	O
,	O
they	B-Actor
need	O
to	O
check	B-Activity
that	B-Further Specification
the	I-Further Specification
issue	I-Further Specification
complies	I-Further Specification
with	I-Further Specification
the	I-Further Specification
so-called	I-Further Specification
blue-sky	I-Further Specification
laws	I-Further Specification
of	I-Further Specification
each	I-Further Specification
state	I-Further Specification
that	I-Further Specification
regulate	I-Further Specification
sales	I-Further Specification
of	I-Further Specification
securities	I-Further Specification
within	I-Further Specification
the	I-Further Specification
state	I-Further Specification
.	O

While	B-AND Gateway
the	O
registration	O
statement	O
is	O
awaiting	B-Activity
approval	B-Activity Data
,	O
underwriters	B-Actor
begin	O
to	O
firm	B-Activity
up	I-Activity
the	B-Activity Data
issue	I-Activity Data
price	I-Activity Data
.	O

They	B-Actor
arrange	B-Activity
a	B-Activity Data
road	I-Activity Data
show	I-Activity Data
to	B-Further Specification
talk	I-Further Specification
to	I-Further Specification
potential	I-Further Specification
investors	I-Further Specification
.	O

Immediately	O
after	O
they	O
receive	B-Activity
clearance	B-Activity Data
from	O
the	O
SEC	O
,	O
underwriters	B-Actor
fix	B-Activity
the	B-Activity Data
issue	I-Activity Data
price	I-Activity Data
.	O

After	O
that	O
they	B-Actor
enter	B-Activity
into	B-Activity Data
a	I-Activity Data
firm	I-Activity Data
commitment	I-Activity Data
to	I-Activity Data
buy	I-Activity Data
the	I-Activity Data
stock	I-Activity Data
and	O
then	O
offer	B-Activity
it	B-Activity Data
to	O
the	B-Actor
public	I-Actor
,	O
when	O
they	O
haven	O
’	O
t	O
still	O
found	O
any	O
reason	O
not	O
to	O
do	O
it	O
.	O

The	B-Actor
MPON	I-Actor
sents	B-Activity
the	B-Activity Data
dismissal	I-Activity Data
to	O
the	B-Actor
MPOO	I-Actor
.	O

The	B-Actor
MPOO	I-Actor
reviews	B-Activity
the	B-Activity Data
dismissal	I-Activity Data
.	O

The	B-Actor
MPOO	I-Actor
opposes	B-Activity
the	B-Activity Data
dismissal	I-Activity Data
of	O
MPON	O
or	B-XOR Gateway
the	B-Actor
MPOO	I-Actor
confirmes	B-Activity
the	B-Activity Data
dismissal	I-Activity Data
of	O
the	O
MPON	O
.	O

The	B-Actor
fault	I-Actor
detector	I-Actor
reports	B-Activity
a	B-Activity Data
failure	I-Activity Data
to	O
the	B-Actor
MPO	I-Actor
or	B-XOR Gateway
MPO	B-Actor
has	O
a	O
suspicion	B-Activity
of	B-Activity Data
their	I-Activity Data
own	I-Activity Data
fault	I-Activity Data
.	O

The	B-Actor
MPO	I-Actor
shall	O
examine	B-Activity
the	B-Activity Data
failure	I-Activity Data
.	O

The	B-Actor
MPO	I-Actor
rejects	B-Activity
the	B-Activity Data
failure	I-Activity Data
of	I-Activity Data
the	I-Activity Data
fault	I-Activity Data
detector	I-Activity Data
or	B-XOR Gateway
the	B-Actor
MPO	I-Actor
confirms	B-Activity
the	B-Activity Data
failure	I-Activity Data
of	I-Activity Data
the	I-Activity Data
fault	I-Activity Data
detector	I-Activity Data
.	O

If	O
the	O
MPO	O
confirms	O
the	O
failure	O
of	O
the	O
fault	O
detector	O
,	O
he	B-Actor
informes	B-Activity
the	B-Actor
GO	I-Actor
and	O
the	B-Actor
MSP	I-Actor
.	O

The	B-Actor
MPO	I-Actor
fixes	B-Activity
the	B-Activity Data
fault	I-Activity Data
at	I-Activity Data
the	I-Activity Data
measuring	I-Activity Data
device	I-Activity Data
.	O

The	B-Actor
MPO	I-Actor
shares	B-Activity
the	B-Activity Data
results	I-Activity Data
of	I-Activity Data
the	I-Activity Data
repairs	I-Activity Data
carried	B-Further Specification
out	I-Further Specification
with	I-Further Specification
the	I-Further Specification
fault	I-Further Specification
detector	I-Further Specification
.	O

The	B-Actor
MPO	I-Actor
will	O
inform	B-Activity
the	B-Actor
GO	I-Actor
about	B-Activity Data
the	I-Activity Data
resolution	I-Activity Data
of	I-Activity Data
the	I-Activity Data
interference	I-Activity Data
.	O

The	B-Actor
MPO	I-Actor
will	O
inform	B-Activity
the	B-Actor
MSP	I-Actor
about	B-Activity Data
the	I-Activity Data
resolution	I-Activity Data
of	I-Activity Data
the	I-Activity Data
interference	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
requests	B-Activity
the	B-Activity Data
measurements	I-Activity Data
of	O
the	B-Actor
MSP	I-Actor
.	O

The	B-Actor
MSP	I-Actor
checks	B-Activity
the	B-Activity Data
received	I-Activity Data
request	I-Activity Data
.	O

The	B-Actor
MSP	I-Actor
denies	B-Activity
the	B-Activity Data
request	I-Activity Data
of	I-Activity Data
the	I-Activity Data
GO	I-Activity Data
or	B-XOR Gateway
the	B-Actor
MSP	I-Actor
performs	B-Activity
the	B-Activity Data
measurement	I-Activity Data
.	O

The	B-Actor
MSP	I-Actor
informs	B-Activity
the	B-Actor
GO	I-Actor
about	B-Activity Data
the	I-Activity Data
failure	I-Activity Data
of	I-Activity Data
the	I-Activity Data
reading	I-Activity Data
or	B-XOR Gateway
the	B-Actor
MSP	I-Actor
transmits	B-Activity
the	B-Activity Data
measured	I-Activity Data
values	I-Activity Data
to	O
the	B-Actor
GO	I-Actor
.	O

The	B-Actor
GO	I-Actor
processes	B-Activity
the	B-Activity Data
measured	I-Activity Data
values	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
sents	B-Activity
the	B-Activity Data
changed	I-Activity Data
values	I-Activity Data
to	O
the	B-Actor
MSP	I-Actor
.	O

The	B-Actor
GO	I-Actor
transmit	B-Activity
the	B-Activity Data
readings	I-Activity Data
to	O
the	B-Actor
SP	I-Actor
.	O

The	B-Actor
EC	I-Actor
tells	B-Activity
the	B-Actor
INQ	I-Actor
about	B-Activity Data
the	I-Activity Data
change	I-Activity Data
of	I-Activity Data
his	I-Activity Data
master	I-Activity Data
data	I-Activity Data
.	O

The	B-Actor
INQ	I-Actor
notifies	B-Activity
the	B-Actor
IP	I-Actor
of	O
the	B-Activity Data
change	I-Activity Data
.	O

The	B-Actor
IP	I-Actor
checks	B-Activity
whether	B-Further Specification
the	I-Further Specification
master	I-Further Specification
data	I-Further Specification
can	I-Further Specification
be	I-Further Specification
changed	I-Further Specification
at	I-Further Specification
the	I-Further Specification
desired	I-Further Specification
time	I-Further Specification
.	O

The	B-Actor
IP	I-Actor
confirmes	B-Activity
the	B-Activity Data
changes	I-Activity Data
of	I-Activity Data
the	I-Activity Data
INQ	I-Activity Data
or	B-XOR Gateway
the	B-Actor
IP	I-Actor
rejectes	B-Activity
the	B-Activity Data
changes	I-Activity Data
of	I-Activity Data
the	I-Activity Data
INQ	I-Activity Data
.	O

The	B-Actor
INQ	I-Actor
transmits	B-Activity
the	B-Activity Data
transaction	I-Activity Data
data	I-Activity Data
request	I-Activity Data
to	O
the	B-Actor
IP	I-Actor
.	O

The	B-Actor
IP	I-Actor
checks	B-Activity
the	B-Activity Data
request	I-Activity Data
of	I-Activity Data
the	I-Activity Data
INQ	I-Activity Data
.	O

The	B-Actor
IP	I-Actor
answers	B-Activity
the	B-Activity Data
question	I-Activity Data
of	I-Activity Data
the	I-Activity Data
INQ	I-Activity Data
depending	B-Further Specification
on	I-Further Specification
the	I-Further Specification
outcome	I-Further Specification
of	I-Further Specification
the	I-Further Specification
examination	I-Further Specification
,	O
i.e	O
.	O
Transmission	O
of	O
data	O
or	O
rejection	O
.	O

The	B-Actor
MPON	I-Actor
reports	B-Activity
the	B-Activity Data
meter	I-Activity Data
operation	I-Activity Data
to	O
the	B-Actor
GO	I-Actor
.	O

The	B-Actor
GO	I-Actor
examines	B-Activity
the	B-Activity Data
application	I-Activity Data
of	O
the	B-Actor
MPON	I-Actor
.	O

The	B-Actor
GO	I-Actor
rejects	B-Activity
the	B-Activity Data
application	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPON	I-Activity Data
or	B-XOR Gateway
the	B-Actor
GO	I-Actor
confirmes	B-Activity
the	B-Activity Data
application	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPON	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MPOO	I-Actor
about	B-Activity Data
the	I-Activity Data
registration	I-Activity Data
confirmation	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPON	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MSPO	I-Actor
about	B-Activity Data
the	I-Activity Data
registration	I-Activity Data
confirmation	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPON	I-Activity Data
.	O

The	B-Actor
MPON	I-Actor
and	O
the	B-Actor
MPOO	I-Actor
perform	B-Activity
the	B-Activity Data
equipment	I-Activity Data
acquisition	I-Activity Data
and	I-Activity Data
/	I-Activity Data
or	I-Activity Data
equipment	I-Activity Data
changes	I-Activity Data
.	O

The	B-Actor
MPON	I-Actor
informs	B-Activity
the	B-Actor
GO	I-Actor
about	B-Activity Data
the	I-Activity Data
failure	I-Activity Data
of	I-Activity Data
the	I-Activity Data
entire	I-Activity Data
process	I-Activity Data
or	B-XOR Gateway
the	B-Actor
MPON	I-Actor
informs	B-Activity
the	B-Actor
GO	I-Actor
about	B-Activity Data
the	I-Activity Data
successful	I-Activity Data
completion	I-Activity Data
of	I-Activity Data
the	I-Activity Data
entire	I-Activity Data
process	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MPON	I-Actor
about	B-Activity Data
the	I-Activity Data
failure	I-Activity Data
of	I-Activity Data
the	I-Activity Data
overall	I-Activity Data
transaction	I-Activity Data
by	I-Activity Data
deadline	I-Activity Data
if	B-XOR Gateway
after	B-Condition Specification
a	I-Condition Specification
maximum	I-Condition Specification
time	I-Condition Specification
limit	I-Condition Specification
no	I-Condition Specification
message	I-Condition Specification
of	I-Condition Specification
the	I-Condition Specification
MPON	I-Condition Specification
is	I-Condition Specification
present	I-Condition Specification
at	I-Condition Specification
the	I-Condition Specification
GO	I-Condition Specification
.	O

If	B-XOR Gateway
the	B-Condition Specification
MPON	I-Condition Specification
informs	I-Condition Specification
the	I-Condition Specification
GO	I-Condition Specification
about	I-Condition Specification
the	I-Condition Specification
failure	I-Condition Specification
of	I-Condition Specification
the	I-Condition Specification
entire	I-Condition Specification
process	I-Condition Specification
,	O
the	B-Actor
GO	I-Actor
confirms	B-Activity
the	B-Activity Data
failure	I-Activity Data
of	I-Activity Data
the	I-Activity Data
assignment	I-Activity Data
to	O
the	B-Actor
MPON	I-Actor
.	O

If	B-XOR Gateway
the	B-Condition Specification
MPON	I-Condition Specification
informs	I-Condition Specification
the	I-Condition Specification
GO	I-Condition Specification
about	I-Condition Specification
the	I-Condition Specification
successful	I-Condition Specification
completion	I-Condition Specification
of	I-Condition Specification
the	I-Condition Specification
overall	I-Condition Specification
process	I-Condition Specification
,	O
the	B-Actor
GO	I-Actor
assigns	B-Activity
the	B-Actor
MPON	I-Actor
.	O

The	B-Actor
GO	I-Actor
confirms	B-Activity
the	B-Activity Data
assignment	I-Activity Data
to	O
the	B-Actor
MPON	I-Actor
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MPOO	I-Actor
about	B-Activity Data
the	I-Activity Data
failure	I-Activity Data
of	I-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPON	I-Activity Data
or	O
the	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MPOO	I-Actor
about	B-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPON	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MSPO	I-Actor
about	B-Activity Data
the	I-Activity Data
failure	I-Activity Data
of	I-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPON	I-Activity Data
or	O
the	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MSPO	I-Actor
about	B-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPON	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
SP	I-Actor
about	B-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPON	I-Activity Data
.	O

The	B-Actor
MPON	I-Actor
notifies	B-Activity
the	B-Actor
MPOO	I-Actor
about	B-Activity Data
equipment	I-Activity Data
change	I-Activity Data
intentions	I-Activity Data
.	O

The	B-Actor
MPOO	I-Actor
announces	B-Activity
self	B-Activity Data
dismounting	I-Activity Data
to	O
the	B-Actor
MPON	I-Actor
or	B-XOR Gateway

the	B-Actor
MPOO	I-Actor
shall	O
notify	B-Activity
the	B-Actor
MPON	I-Actor
about	B-Activity Data
no	I-Activity Data
self-dismounting	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MPOO	I-Activity Data
.	O

The	B-Actor
MPON	I-Actor
or	I-Actor
the	I-Actor
MPOO	I-Actor
perform	B-Activity
the	B-Activity Data
final	I-Activity Data
reading	I-Activity Data
.	O

The	B-Actor
MPON	I-Actor
or	I-Actor
the	I-Actor
MPOO	I-Actor
dismount	B-Activity
the	B-Activity Data
old	I-Activity Data
equipment	I-Activity Data
.	O

The	B-Actor
MPON	I-Actor
mounts	B-Activity
the	B-Activity Data
new	I-Activity Data
device	I-Activity Data
.	O

The	B-Actor
MPON	I-Actor
reads	B-Activity
the	B-Activity Data
meter	I-Activity Data
count	I-Activity Data
from	O
the	O
installed	O
meter	O
.	O

The	B-Actor
MPON	I-Actor
sents	B-Activity
the	B-Activity Data
values	I-Activity Data
of	I-Activity Data
the	I-Activity Data
final	I-Activity Data
reading	I-Activity Data
to	O
the	B-Actor
GO	I-Actor
.	O

The	B-Actor
MPON	I-Actor
tells	B-Activity
the	B-Actor
GO	I-Actor
about	B-Activity Data
the	I-Activity Data
device	I-Activity Data
changes	I-Activity Data
,	I-Activity Data
the	I-Activity Data
master	I-Activity Data
data	I-Activity Data
and	I-Activity Data
the	I-Activity Data
meter	I-Activity Data
count	I-Activity Data
at	I-Activity Data
installation	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
shall	O
notify	B-Activity
the	B-Actor
MSP	I-Actor
about	B-Activity Data
the	I-Activity Data
device	I-Activity Data
changes	I-Activity Data
,	I-Activity Data
the	I-Activity Data
master	I-Activity Data
data	I-Activity Data
,	I-Activity Data
the	I-Activity Data
meter	I-Activity Data
count	I-Activity Data
at	I-Activity Data
dismounting	I-Activity Data
,	I-Activity Data
and	I-Activity Data
the	I-Activity Data
meter	I-Activity Data
count	I-Activity Data
at	I-Activity Data
installation	I-Activity Data
.	O

The	B-Actor
MSPN	I-Actor
sents	B-Activity
a	B-Activity Data
dismissal	I-Activity Data
to	O
the	B-Actor
MSPO	I-Actor
.	O

The	B-Actor
MSPO	I-Actor
reviews	B-Activity
the	B-Activity Data
dismissal	I-Activity Data
.	O

The	B-Actor
MSPO	I-Actor
rejects	B-Activity
the	B-Activity Data
dismissal	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MSPN	I-Activity Data
or	B-XOR Gateway
The	B-Actor
MSPO	I-Actor
confirms	B-Activity
the	B-Activity Data
dismissal	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MSPN	I-Activity Data
.	O

The	B-Actor
MSPN	I-Actor
registers	B-Activity
the	B-Activity Data
measurement	I-Activity Data
at	O
the	B-Actor
GO	I-Actor
.	O

The	B-Actor
GO	I-Actor
examines	B-Activity
the	B-Activity Data
application	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MSPN	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
rejects	B-Activity
the	B-Activity Data
application	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MSPN	I-Activity Data
or	B-XOR Gateway
the	B-Actor
GO	I-Actor
confirmes	B-Activity
the	B-Activity Data
application	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MSPN	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
assigns	B-Activity
the	B-Activity Data
MSPN	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MSPO	I-Actor
about	B-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
MSPN	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MPO	I-Actor
about	B-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MSPN	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
SP	I-Actor
about	B-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
MSPN	I-Activity Data
.	O

The	B-Actor
MSPO	I-Actor
deregisters	B-Activity
at	O
the	B-Actor
GO	I-Actor
.	O

The	B-Actor
GO	I-Actor
verifies	B-Activity
the	B-Activity Data
deregistration	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
rejects	B-Activity
the	B-Activity Data
deregistration	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MSPO	I-Activity Data
or	B-XOR Gateway
the	B-Actor
GO	I-Actor
preliminarily	B-Further Specification
confirms	B-Activity
the	B-Activity Data
deregistration	I-Activity Data
of	I-Activity Data
the	I-Activity Data
MSPO	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
assigns	B-Activity
himself	B-Activity Data
as	B-Further Specification
MSP	I-Further Specification
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MSPO	I-Actor
about	B-Activity Data
the	I-Activity Data
end	I-Activity Data
of	I-Activity Data
the	I-Activity Data
assignment	I-Activity Data
and	I-Activity Data
the	I-Activity Data
beginning	I-Activity Data
of	I-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
the	I-Activity Data
GO	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
MPO	I-Actor
about	B-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
the	I-Activity Data
GO	I-Activity Data
.	O

The	B-Actor
GO	I-Actor
informs	B-Activity
the	B-Actor
SP	I-Actor
about	B-Activity Data
the	I-Activity Data
assignment	I-Activity Data
of	I-Activity Data
the	I-Activity Data
GO	I-Activity Data
.	O

The	B-Actor
SP	I-Actor
/	I-Actor
PU	I-Actor
/	I-Actor
GO	I-Actor
request	B-Activity
changes	B-Activity Data
of	O
the	B-Actor
MPO	I-Actor
or	B-XOR Gateway
the	B-Actor
MPO	I-Actor
himself	O
causes	B-Activity
a	B-Activity Data
change	I-Activity Data
.	O

The	B-Actor
MPO	I-Actor
reviews	B-Activity
the	B-Activity Data
change	I-Activity Data
request	I-Activity Data
.	O

The	B-Actor
MPO	I-Actor
rejects	B-Activity
the	B-Activity Data
change	I-Activity Data
of	I-Activity Data
the	I-Activity Data
measuring	I-Activity Data
point	I-Activity Data
by	I-Activity Data
the	I-Activity Data
SP	I-Activity Data
/	I-Activity Data
PU	I-Activity Data
/	I-Activity Data
GO	I-Activity Data
or	B-XOR Gateway
the	B-Actor
MPO	I-Actor
confirmes	B-Activity
the	B-Activity Data
request	I-Activity Data
of	I-Activity Data
the	I-Activity Data
SP	I-Activity Data
/	I-Activity Data
PU	I-Activity Data
/	I-Activity Data
GO	I-Activity Data
.	O

The	B-Actor
MPO	I-Actor
performs	B-Activity
the	B-Activity Data
measuring	I-Activity Data
point	I-Activity Data
change	I-Activity Data
.	O

The	B-Actor
MPO	I-Actor
reports	B-Activity
the	B-Activity Data
implementation	I-Activity Data
to	O
the	B-Actor
SP	I-Actor
/	I-Actor
PU	I-Actor
/	I-Actor
GO	I-Actor
or	B-XOR Gateway
notifies	B-Activity
the	B-Actor
SP	I-Actor
/	I-Actor
PU	I-Actor
/	I-Actor
